EMDB ID,Entry ID,Chain ID,Coverage Deposited,Sequence Match Deposited,Coverage CryoTEN,Sequence Match CryoTEN
9311,6N06,O,93.5,80.2,97.8,94.4
9311,6N06,I,87.0,42.5,85.9,73.4
9311,6N06,J,97.8,93.3,94.6,58.6
9311,6N06,Z,83.7,74.0,96.7,50.6
9311,6N06,N,84.8,87.2,92.4,89.4
9311,6N06,L,95.7,85.2,96.7,100.0
9311,6N06,X,95.7,89.8,95.7,87.5
9311,6N06,V,94.6,97.7,93.5,80.2
9311,6N06,M,93.5,73.3,92.4,87.1
29644,8G04,A,80.1,63.6,90.1,61.8
29644,8G04,C,40.6,35.6,56.3,16.2
29644,8G04,B,32.5,5.4,34.5,5.1
21502,6W17,A,55.5,23.2,72.6,27.5
21502,6W17,F,94.6,69.8,92.9,78.8
21502,6W17,D,64.1,23.3,76.7,48.1
21502,6W17,E,42.0,4.1,59.2,8.7
21502,6W17,K,77.2,20.7,76.4,28.4
21502,6W17,G,80.7,25.6,93.3,66.4
21502,6W17,C,68.2,18.5,79.0,30.4
21502,6W17,B,71.7,26.4,73.1,28.2
21502,6W17,H,81.8,40.7,63.6,8.3
21502,6W17,I,80.0,23.3,72.7,32.3
21502,6W17,J,86.4,37.9,93.8,64.2
21502,6W17,L,28.7,9.4,60.4,13.0
15672,8AUK,A,20.8,4.6,21.2,5.2
15672,8AUK,D,11.4,4.8,10.3,21.1
15672,8AUK,E,12.7,13.6,13.9,8.3
15672,8AUK,C,6.1,9.1,7.3,30.8
15672,8AUK,B,22.7,6.2,27.6,9.3
20080,6OIS,A,78.9,24.7,87.8,60.2
20080,6OIS,F,45.0,16.5,52.4,8.3
20080,6OIS,D,31.4,8.3,47.6,8.3
20080,6OIS,E,53.5,14.8,64.4,7.5
20080,6OIS,C,60.6,23.5,73.9,11.5
20080,6OIS,B,57.6,61.1,94.4,94.1
16215,8BRI,A,58.8,71.4,58.8,72.8
16215,8BRI,F,88.2,88.9,88.2,4.4
16215,8BRI,D,71.6,44.3,65.0,35.4
16215,8BRI,E,66.5,49.0,68.7,55.0
16215,8BRI,G,82.4,7.1,92.2,6.4
16215,8BRI,C,76.5,25.5,89.6,40.0
16215,8BRI,B,60.9,10.6,70.4,14.0
24249,7N8Y,A,73.6,41.0,82.6,14.0
24249,7N8Y,D,29.3,20.2,29.8,15.6
24249,7N8Y,C,74.4,22.2,82.2,41.2
24249,7N8Y,B,25.9,4.9,34.7,6.2
4936,6RMG,B,78.7,33.1,82.7,43.5
34029,7YQM,A,71.6,55.8,68.5,33.3
35080,8HW1,A,73.0,64.2,95.0,79.5
35080,8HW1,F,73.0,83.5,82.2,76.8
35080,8HW1,D,64.7,73.7,93.8,72.1
35080,8HW1,E,80.1,81.3,89.6,77.8
35080,8HW1,K,84.6,81.9,89.6,59.3
35080,8HW1,G,81.7,70.6,92.9,71.4
35080,8HW1,C,77.2,71.0,80.1,78.8
35080,8HW1,B,81.3,63.8,91.7,76.5
35080,8HW1,H,83.4,66.7,92.9,65.6
35080,8HW1,I,83.0,51.5,90.5,81.7
35080,8HW1,J,72.2,71.3,98.3,73.8
7006,6AUI,A,46.4,26.6,56.2,22.7
7006,6AUI,F,48.7,15.2,44.2,24.0
7006,6AUI,D,43.6,33.5,65.6,22.5
7006,6AUI,E,45.6,30.6,51.8,31.9
7006,6AUI,C,41.6,24.2,81.6,37.7
7006,6AUI,B,47.7,47.3,68.3,27.5
18351,8QEC,A,65.9,48.6,72.6,67.5
4759,6R8F,A,89.1,34.4,95.8,52.2
4759,6R8F,D,69.6,5.0,75.7,5.2
4759,6R8F,E,76.7,16.8,83.8,39.8
4759,6R8F,K,69.1,20.1,83.2,13.4
4759,6R8F,G,30.5,1.6,37.1,9.0
4759,6R8F,C,79.8,7.9,87.0,7.7
4759,6R8F,B,82.6,15.8,87.4,26.4
4759,6R8F,L,72.0,31.6,75.7,28.8
16708,8CL0,A,75.7,85.8,85.0,75.8
16708,8CL0,F,66.8,6.3,87.4,7.0
16708,8CL0,D,62.6,4.5,80.8,6.4
16708,8CL0,E,82.7,57.6,86.9,76.3
16708,8CL0,G,72.7,100.0,72.7,25.0
16708,8CL0,C,78.1,73.2,85.6,83.2
16708,8CL0,B,73.7,5.7,90.6,6.2
16708,8CL0,J,58.3,14.3,58.3,100.0
21545,6W5R,A,43.9,43.1,61.8,53.9
32117,7VT0,A,35.6,11.9,66.8,31.6
32117,7VT0,B,35.4,8.5,62.9,25.4
33469,7XUH,A,89.1,78.6,76.5,58.8
33469,7XUH,B,88.1,82.3,65.8,56.6
14430,7Z0T,A,37.4,22.1,81.3,34.1
14430,7Z0T,F,21.3,17.2,63.2,5.8
14430,7Z0T,D,59.6,18.1,84.3,57.9
14430,7Z0T,E,68.8,6.6,74.6,5.0
14430,7Z0T,G,49.0,10.7,49.0,5.7
14430,7Z0T,C,72.6,8.2,88.4,7.7
14430,7Z0T,B,62.4,52.8,69.4,27.1
28248,8EMH,A,40.5,6.6,63.7,7.0
28248,8EMH,F,34.1,9.7,58.9,17.3
28248,8EMH,D,36.7,7.3,43.3,5.9
28248,8EMH,E,23.7,6.4,40.2,5.6
28248,8EMH,K,30.4,2.5,43.4,10.8
28248,8EMH,G,21.8,8.2,28.0,8.5
28248,8EMH,C,34.3,7.8,56.5,6.6
28248,8EMH,B,29.7,7.5,62.0,22.9
28248,8EMH,H,31.3,8.6,46.6,14.1
28248,8EMH,I,35.9,4.1,58.0,23.6
28248,8EMH,J,33.0,4.5,55.1,18.7
28248,8EMH,L,23.4,7.1,28.0,6.5
13344,7PE1,R,95.7,72.0,92.7,59.9
13344,7PE1,K,97.5,76.7,95.7,67.9
13344,7PE1,Q,96.9,93.7,96.9,73.4
13344,7PE1,H,93.9,60.1,80.4,51.1
13344,7PE1,I,93.9,54.5,96.3,73.4
13344,7PE1,L,93.9,59.1,93.9,85.1
13344,7PE1,X,59.5,84.5,94.5,64.3
13344,7PE1,M,89.9,65.7,95.3,81.7
17575,8P98,A,64.9,39.5,70.5,40.6
17575,8P98,B,17.3,5.2,27.5,4.3
34090,7YTJ,A,83.2,15.2,85.7,31.4
34090,7YTJ,D,78.5,41.3,87.9,51.3
34090,7YTJ,E,69.4,40.4,66.3,49.9
34090,7YTJ,C,87.3,89.9,91.2,96.8
34090,7YTJ,B,76.5,65.4,86.3,97.7
